,word,pos,frequency
0,the,PRON,0.0537
1,to,PART,0.0269
2,and,CCONJ,0.0257
3,of,ADP,0.0251
4,a,PRON,0.0229
5,in,ADP,0.0186
6,i,PRON,0.0123
7,is,AUX,0.0117
8,for,ADP,0.0102
9,that,SCONJ,0.0102
10,you,PRON,0.00955
11,it,PRON,0.00891
12,on,ADP,0.00813
13,with,ADP,0.00708
14,was,AUX,0.00661
15,this,PRON,0.00661
16,be,AUX,0.00617
17,as,ADP,0.00589
18,are,AUX,0.0055
19,have,VERB,0.00513
20,at,ADP,0.00501
21,he,PRON,0.0049
22,not,PART,0.0049
23,by,ADP,0.00457
24,but,CCONJ,0.00427
25,from,ADP,0.00427
26,my,PRON,0.00372
27,or,CCONJ,0.00347
28,we,PRON,0.00347
29,an,PRON,0.00339
30,your,PRON,0.00339
31,all,PRON,0.00331
32,so,ADV,0.00331
33,his,PRON,0.00324
34,they,PRON,0.00316
35,me,PRON,0.00302
36,if,SCONJ,0.00295
37,one,NUM,0.00295
38,can,AUX,0.00288
39,will,AUX,0.00282
40,just,ADV,0.00269
41,like,INTJ,0.00257
42,about,ADV,0.00251
43,up,ADV,0.00245
44,what,PRON,0.0024
45,out,ADV,0.0024
46,has,VERB,0.00234
47,when,SCONJ,0.00234
48,more,ADV,0.00229
49,no,INTJ,0.00224
50,do,VERB,0.00224
51,who,PRON,0.00219
52,were,AUX,0.00219
53,had,VERB,0.00214
54,it's,PRON,0.00214
55,their,PRON,0.00214
56,there,PRON,0.00204
57,which,PRON,0.002
58,her,PRON,0.002
59,time,NOUN,0.00195
60,get,VERB,0.00191
61,would,AUX,0.00186
62,been,AUX,0.00186
63,she,PRON,0.00182
64,new,ADJ,0.00178
65,people,NOUN,0.00178
66,how,SCONJ,0.00174
67,some,PRON,0.00158
68,don't,VERB,0.00158
69,them,PRON,0.00155
70,also,ADV,0.00155
71,now,ADV,0.00151
72,other,ADJ,0.00145
73,i'm,PRON,0.00141
74,our,PRON,0.00138
75,its,PRON,0.00138
76,than,ADP,0.00135
77,good,ADJ,0.00132
78,only,ADV,0.00132
79,after,ADP,0.00129
80,into,ADP,0.00129
81,him,PRON,0.00129
82,first,ADV,0.00129
83,know,VERB,0.00126
84,see,VERB,0.00126
85,two,NUM,0.00126
86,over,ADV,0.0012
87,think,VERB,0.0012
88,make,VERB,0.0012
89,any,PRON,0.00117
90,then,ADV,0.00117
91,could,AUX,0.00115
92,want,VERB,0.0011
93,these,PRON,0.0011
94,us,PRON,0.0011
95,back,ADV,0.0011
96,go,VERB,0.00107
97,because,SCONJ,0.00107
98,well,ADV,0.00107
99,said,VERB,0.00102
100,way,NOUN,0.00102
101,where,SCONJ,0.001
102,2,NUM,0.001
103,most,ADV,0.001
104,very,ADV,0.001
105,much,ADJ,0.001
106,1,NUM,0.001
107,even,ADV,0.000977
108,should,AUX,0.000977
109,may,AUX,0.000955
110,need,VERB,0.000933
111,really,ADV,0.000933
112,here,ADV,0.000933
113,right,INTJ,0.000912
114,years,NOUN,0.000912
115,did,VERB,0.000912
116,year,NOUN,0.000912
117,work,VERB,0.000912
118,too,ADV,0.000891
119,being,AUX,0.000891
120,day,NOUN,0.000891
121,going,VERB,0.000871
122,before,ADP,0.000851
123,why,SCONJ,0.000851
124,off,ADP,0.000851
125,still,ADV,0.000832
126,made,VERB,0.000832
127,take,VERB,0.000832
128,3,NUM,0.000813
129,many,ADJ,0.000813
130,never,ADV,0.000813
131,got,VERB,0.000813
132,those,PRON,0.000794
133,life,NOUN,0.000776
134,world,NOUN,0.000776
135,say,VERB,0.000776
136,great,ADJ,0.000759
137,down,ADV,0.000759
138,you're,PRON,0.000741
139,through,ADP,0.000741
140,while,SCONJ,0.000724
141,that's,PRON,0.000724
142,last,ADJ,0.000724
143,s,X,0.000724
144,best,ADV,0.000692
145,such,ADJ,0.000692
146,man,NOUN,0.000661
147,love,NOUN,0.000661
148,home,NOUN,0.000646
149,look,VERB,0.000646
150,something,PRON,0.000646
151,long,ADV,0.000646
152,use,NOUN,0.000646
153,can't,AUX,0.000631
154,used,VERB,0.000631
155,same,ADJ,0.000631
156,every,PRON,0.000617
157,both,PRON,0.000617
158,three,NUM,0.000603
159,4,NUM,0.000603
160,am,AUX,0.000603
161,part,NOUN,0.000603
162,come,VERB,0.000603
163,state,NOUN,0.000603
164,between,ADP,0.000589
165,around,ADV,0.000589
166,always,ADV,0.000575
167,better,ADV,0.000575
