ID,lemma,pos,frequency,WPM
0,el,DET,2220619,64525.29146913848
1,de,ADP,1620894,47098.87548948186
2,él,PRON,1345010,39082.419036721716
3,ser,AUX,1252257,36387.26315467396
4,a,ADP,1115558,32415.153207609757
5,uno,DET,1099873,31959.388757835426
6,que,SCONJ,1037689,30152.486842325867
7,no,ADV,911377,26482.195533438655
8,en,ADP,737449,21428.309704917723
9,yo,PRON,652204,18951.316365994342
10,que,PRON,613438,17824.879345914524
11,y,CCONJ,590375,17154.729807811527
12,estar,AUX,507724,14753.111220734785
13,haber,AUX,453526,13178.261259059971
14,tú,PRON,426520,12393.538611268723
15,por,ADP,397825,11559.738108477868
16,tener,VERB,391376,11372.347293266219
17,con,ADP,345740,10046.286315905581
18,para,ADP,297929,8657.025614078306
19,poder,AUX,294343,8552.82597640596
20,hacer,VERB,291616,8473.58659772986
21,mi,DET,275515,8005.7342926092615
22,su,DET,272039,7904.730962840974
23,qué,PRON,215109,6250.496335767147
24,decir,VERB,197365,5734.902813497729
25,saber,VERB,186561,5420.967262629898
26,este,DET,182609,5306.132636840407
27,del,ADP,181233,5266.149730695078
28,tu,DET,174132,5059.81352681573
29,si,SCONJ,172929,5024.85754128315
30,al,ADP,172234,5004.662686798409
31,querer,VERB,171229,4975.460055493136
32,ese,PRON,164294,4773.947370814461
33,pero,CCONJ,161404,4689.971644971436
34,como,SCONJ,158410,4602.973955291846
35,ir,AUX,157015,4562.438959599453
36,©,PROPN,147801,4294.704586617577
37,ver,VERB,145512,4228.192324868551
38,mucho,ADV,144350,4194.427690463847
39,todo,DET,131841,3830.9493670830902
40,más,ADV,130564,3793.8431380514153
41,bien,ADV,130341,3787.3633502095486
42,ese,DET,129248,3755.6036725810277
43,este,PRON,123867,3599.2461013833417
44,ir,VERB,123590,3591.1972169340274
45,estar,VERB,119603,3475.3455840841534
46,aquí,ADV,92502,2687.862488557581
47,algo,PRON,88771,2579.449535920791
48,todo,PRON,82448,2395.719946126521
49,vez,NOUN,81968,2381.7724207269875
50,ya,ADV,81616,2371.544235433996
51,o,CCONJ,80486,2338.709436055928
52,pasar,VERB,76942,2235.73020685604
53,cuando,SCONJ,76624,2226.4899712788488
54,dar,VERB,75108,2182.439036891989
55,creer,VERB,74862,2175.290930124728
56,hablar,VERB,72874,2117.524929094994
57,qué,DET,67877,1972.3253782169347
58,deber,AUX,67822,1970.727224264905
59,ahora,ADV,67085,1949.311961307705
60,nuestro,DET,66149,1922.1142867786148
61,tanto,ADV,65923,1915.547326903001
62,otro,DET,60242,1750.4725523306067
63,nada,PRON,59466,1727.9240529346944
64,cosa,NOUN,58887,1711.0998504215072
65,cómo,PRON,56660,1646.3891440365887
66,así,ADV,55857,1623.0560963369526
67,dos,NUM,55754,1620.0631898449694
68,dejar,VERB,54250,1576.3609435930982
69,necesitar,VERB,54108,1572.2348006624027
70,hombre,NOUN,52702,1531.380174179603
71,porque,SCONJ,52114,1514.2944555651745
72,sobre,ADP,52099,1513.8585953964391
73,uno,PRON,51294,1490.4674330076382
74,pensar,VERB,50406,1464.6645110185013
75,venir,VERB,48923,1421.5724690028599
76,buen,ADJ,48395,1406.230191063373
77,sólo,ADV,46959,1364.5038442431023
78,gustar,VERB,46413,1348.638534101133
79,alguno,DET,45516,1322.5740960107548
80,sentir,VERB,45368,1318.2736090125654
81,sí,INTJ,44972,1306.7669005579505
82,tiempo,NOUN,44958,1306.3600977337974
83,sin,ADP,44740,1300.0255966148427
84,mejor,ADJ,43978,1277.8839000430833
85,quién,PRON,41917,1217.9967128588366
86,llamar,VERB,41813,1214.9747490222712
87,volver,VERB,41610,1209.076108072052
88,dónde,PRON,41086,1193.8500595108944
89,día,NOUN,40891,1188.1838773173342
90,parecer,VERB,40772,1184.726053312033
91,casa,NOUN,40624,1180.4255663138435
92,alguien,PRON,40200,1168.1052522109226
93,llevar,VERB,40046,1163.6304211452389
94,hasta,ADP,39298,1141.8955273976328
95,salir,VERB,38903,1130.4178762876
96,nunca,ADV,38595,1121.4682141562328
97,©,NOUN,37905,1101.4186463944034
98,encontrar,VERB,37325,1084.565386536634
99,esperar,VERB,36717,1066.8985210305582
100,antes,ADV,36338,1055.8857874338432
101,gente,NOUN,36157,1050.626408064436
102,tipo,NOUN,35837,1041.3280577980804
103,llegar,VERB,35692,1037.1147428336378
104,usted,PRON,35595,1034.296180409149
105,año,NOUN,34686,1007.8830541837824
106,mucho,DET,34411,999.8922844236331
107,vida,NOUN,34316,997.131836688309
108,favor,NOUN,33622,976.9660395481502
109,poner,VERB,32819,953.632991848514
110,ni,CCONJ,32602,947.3275480741418
111,tomar,VERB,32382,940.9349322660222
112,nuevo,ADJ,32239,936.7797319907445
113,seguir,VERB,32203,935.7336675857795
114,primero,ADJ,31186,906.1823481455181
115,tu,PROPN,31080,903.1022696197879
116,acuerdo,NOUN,30502,886.307124451183
117,también,ADV,29915,869.250463181337
118,amigo,NOUN,29659,861.8117829682525
119,verdad,NOUN,29626,860.8528905970345
120,entonces,ADV,29504,857.3078945579865
121,padre,NOUN,29444,855.5644538830448
