word,pos,frequency
the,PRON,0.0537
to,ADP,0.0269
and,CCONJ,0.0257
of,ADP,0.0251
a,INTJ,0.0229
in,ADP,0.0186
i,PRON,0.0123
is,AUX,0.0117
for,ADP,0.0102
that,SCONJ,0.0102
you,PRON,0.00955
it,PRON,0.00891
on,ADP,0.00813
with,ADP,0.00708
was,AUX,0.00661
this,PRON,0.00661
be,AUX,0.00617
as,ADP,0.00589
are,AUX,0.0055
have,VERB,0.00513
at,ADP,0.00501
he,PRON,0.0049
not,PART,0.0049
by,ADP,0.00457
but,CCONJ,0.00427
from,ADP,0.00427
my,INTJ,0.00372
or,CCONJ,0.00347
we,PRON,0.00347
your,PRON,0.00339
an,PRON,0.00339
so,ADV,0.00331
all,PRON,0.00331
his,PRON,0.00324
they,PRON,0.00316
me,PRON,0.00302
if,SCONJ,0.00295
can,AUX,0.00288
will,AUX,0.00282
just,ADV,0.00269
like,INTJ,0.00257
about,ADP,0.00251
up,NOUN,0.00245
out,ADP,0.0024
what,PRON,0.0024
has,VERB,0.00234
when,SCONJ,0.00234
more,ADJ,0.00229
no,INTJ,0.00224
do,VERB,0.00224
who,PRON,0.00219
were,AUX,0.00219
had,VERB,0.00214
their,PRON,0.00214
it's,PRON,0.00214
there,ADV,0.00204
her,PRON,0.002
which,PRON,0.002
time,NOUN,0.00195
get,VERB,0.00191
would,AUX,0.00186
been,AUX,0.00186
she,PRON,0.00182
people,NOUN,0.00178
new,ADJ,0.00178
how,SCONJ,0.00174
don't,VERB,0.00158
some,PRON,0.00158
them,PRON,0.00155
also,ADV,0.00155
now,ADV,0.00151
other,ADJ,0.00145
i'm,PRON,0.00141
our,PRON,0.00138
its,PRON,0.00138
than,ADP,0.00135
good,ADJ,0.00132
only,ADV,0.00132
after,ADP,0.00129
into,ADP,0.00129
first,ADJ,0.00129
him,PRON,0.00129
see,VERB,0.00126
know,VERB,0.00126
think,VERB,0.0012
make,VERB,0.0012
over,ADP,0.0012
then,ADV,0.00117
any,INTJ,0.00117
could,AUX,0.00115
want,VERB,0.0011
these,PRON,0.0011
back,ADV,0.0011
us,PRON,0.0011
well,INTJ,0.00107
because,SCONJ,0.00107
go,VERB,0.00107
way,NOUN,0.00102
said,VERB,0.00102
where,SCONJ,0.001
very,ADV,0.001
most,ADJ,0.001
much,ADJ,0.001
should,AUX,0.000977
even,ADV,0.000977
may,AUX,0.000955
here,ADV,0.000933
really,ADV,0.000933
need,NOUN,0.000933
did,VERB,0.000912
work,NOUN,0.000912
right,INTJ,0.000912
year,NOUN,0.000912
years,NOUN,0.000912
day,NOUN,0.000891
being,AUX,0.000891
too,ADV,0.000891
going,VERB,0.000871
before,ADP,0.000851
off,ADV,0.000851
why,SCONJ,0.000851
made,VERB,0.000832
still,ADV,0.000832
take,VERB,0.000832
many,ADJ,0.000813
never,ADV,0.000813
got,VERB,0.000813
those,PRON,0.000794
world,NOUN,0.000776
say,VERB,0.000776
life,NOUN,0.000776
down,NOUN,0.000759
great,ADJ,0.000759
through,ADP,0.000741
you're,PRON,0.000741
s,NOUN,0.000724
while,SCONJ,0.000724
that's,PRON,0.000724
last,ADJ,0.000724
such,ADJ,0.000692
best,ADJ,0.000692
love,NOUN,0.000661
man,INTJ,0.000661
use,VERB,0.000646
long,ADJ,0.000646
home,NOUN,0.000646
something,PRON,0.000646
look,VERB,0.000646
same,ADJ,0.000631
used,VERB,0.000631
can't,AUX,0.000631
both,PRON,0.000617
every,PRON,0.000617
come,VERB,0.000603
part,NOUN,0.000603
am,INTJ,0.000603
state,NOUN,0.000603
around,ADP,0.000589
between,ADP,0.000589
always,ADV,0.000575
better,ADV,0.000575
find,VERB,0.000575
little,ADJ,0.000562
help,VERB,0.000562
old,ADJ,0.000562
high,ADJ,0.000562
since,SCONJ,0.000562
another,PRON,0.00055
does,VERB,0.00055
things,NOUN,0.00055
own,ADJ,0.00055
under,ADP,0.000537
thing,NOUN,0.000525
i've,PRON,0.000525
game,NOUN,0.000525
during,ADP,0.000525
place,NOUN,0.000513
house,NOUN,0.000513
school,NOUN,0.000513
give,VERB,0.000513
next,ADV,0.000501
again,ADV,0.000501
without,ADP,0.00049
each,PRON,0.00049
must,INTJ,0.000479
against,ADP,0.000479
found,VERB,0.000479
didn't,VERB,0.000479
end,NOUN,0.000479
show,NOUN,0.000479
feel,VERB,0.000468
team,NOUN,0.000468
sure,INTJ,0.000468
big,ADJ,0.000468
please,INTJ,0.000457
might,ADV,0.000457
ever,ADV,0.000457
family,NOUN,0.000457
put,VERB,0.000457
keep,VERB,0.000457
money,NOUN,0.000437
someone,PRON,0.000427
second,ADJ,0.000427
free,ADJ,0.000427
away,ADV,0.000417
number,NOUN,0.000417
play,NOUN,0.000407
city,NOUN,0.000407
lot,NOUN,0.000407
night,NOUN,0.000407
name,NOUN,0.000407
until,ADP,0.000407
days,NOUN,0.000407
few,ADJ,0.000398
real,ADJ,0.000398
let,VERB,0.000398
he's,PRON,0.000398
doing,VERB,0.000398
company,NOUN,0.000398
different,ADJ,0.000389
having,VERB,0.000389
set,NOUN,0.000389
thought,NOUN,0.000389
called,VERB,0.000389
done,VERB,0.00038
however,ADV,0.00038
getting,VERB,0.000372
looking,VERB,0.000372
top,ADJ,0.000372
god,INTJ,0.000372
government,NOUN,0.000372
group,NOUN,0.000372
women,NOUN,0.000372
public,ADJ,0.000372
system,NOUN,0.000363
week,NOUN,0.000363
business,NOUN,0.000363
times,NOUN,0.000363
care,NOUN,0.000363
start,VERB,0.000363
person,NOUN,0.000355
today,NOUN,0.000355
case,NOUN,0.000355
anything,PRON,0.000355
nothing,PRON,0.000355
already,ADV,0.000355
full,ADJ,0.000347
change,NOUN,0.000347
yet,CCONJ,0.000347
live,ADJ,0.000347
everything,PRON,0.000347
read,VERB,0.000347
told,VERB,0.000347
enough,ADJ,0.000347
making,NOUN,0.000347
point,NOUN,0.000347
there's,PRON,0.000347
mean,ADJ,0.000339
bad,ADJ,0.000339
support,NOUN,0.000339
once,ADV,0.000339
tell,VERB,0.000339
doesn't,VERB,0.000339
hard,ADJ,0.000339
including,VERB,0.000331
water,NOUN,0.000331
states,NOUN,0.000331
power,NOUN,0.000331
music,NOUN,0.000331
stop,VERB,0.000331
seen,VERB,0.000331
national,ADJ,0.000324
small,ADJ,0.000324
white,ADJ,0.000324
men,NOUN,0.000324
believe,VERB,0.000324
head,NOUN,0.000324
based,VERB,0.000324
call,VERB,0.000324
side,NOUN,0.000316
yes,INTJ,0.000316
far,ADV,0.000316
went,VERB,0.000316
try,VERB,0.000316
job,NOUN,0.000316
came,VERB,0.000316
though,ADV,0.000316
service,NOUN,0.000309
less,ADJ,0.000309
run,NOUN,0.000309
says,VERB,0.000309
order,NOUN,0.000309
line,NOUN,0.000309
actually,ADV,0.000309
later,ADV,0.000309
party,NOUN,0.000309
country,NOUN,0.000302
shit,INTJ,0.000302
season,NOUN,0.000302
thank,VERB,0.000302
using,VERB,0.000295
united,ADJ,0.000295
children,NOUN,0.000295
trying,VERB,0.000295
they're,PRON,0.000295
everyone,PRON,0.000295
general,ADJ,0.000295
together,ADV,0.000288
makes,VERB,0.000288
whole,ADJ,0.000288
law,NOUN,0.000288
area,NOUN,0.000288
war,NOUN,0.000288
black,ADJ,0.000288
following,VERB,0.000288
president,NOUN,0.000282
working,NOUN,0.000282
car,NOUN,0.000282
story,NOUN,0.000282
face,NOUN,0.000282
kind,NOUN,0.000282
maybe,ADV,0.000282
important,ADJ,0.000275
news,NOUN,0.000275
games,NOUN,0.000275
hope,INTJ,0.000275
means,VERB,0.000275
least,ADV,0.000275
within,ADV,0.000275
course,NOUN,0.000275
health,NOUN,0.000275
local,ADJ,0.000269
i'll,PRON,0.000269
post,NOUN,0.000269
friends,NOUN,0.000269
thanks,NOUN,0.000269
able,ADJ,0.000269
information,NOUN,0.000269
video,NOUN,0.000269
book,NOUN,0.000269
t,NOUN,0.000269
oh,INTJ,0.000269
early,ADV,0.000269
young,ADJ,0.000269
talk,VERB,0.000263
others,NOUN,0.000263
social,ADJ,0.000263
ago,ADV,0.000263
guys,NOUN,0.000257
isn't,AUX,0.000257
single,ADJ,0.000257
fact,NOUN,0.000257
court,NOUN,0.000257
level,NOUN,0.000257
often,ADV,0.000257
hand,NOUN,0.000257
half,NOUN,0.000257
mind,NOUN,0.000257
given,VERB,0.000257
office,NOUN,0.000251
hours,NOUN,0.000251
guy,NOUN,0.000251
control,NOUN,0.000251
true,ADJ,0.000251
we're,PRON,0.000251
body,NOUN,0.000251
coming,VERB,0.000251
death,NOUN,0.000251
food,NOUN,0.000251
problem,NOUN,0.000251
south,NOUN,0.000251
pay,VERB,0.000251
become,VERB,0.000251
history,NOUN,0.000245
m,INTJ,0.000245
several,ADJ,0.000245
research,NOUN,0.000245
wrong,ADJ,0.000245
large,ADJ,0.000245
fuck,INTJ,0.000245
lost,VERB,0.000245
known,VERB,0.000245
win,VERB,0.000245
room,NOUN,0.000245
started,VERB,0.000245
taking,VERB,0.000245
almost,ADV,0.000245
girl,NOUN,0.00024
matter,NOUN,0.00024
else,ADV,0.00024
remember,VERB,0.00024
along,ADV,0.00024
pretty,ADJ,0.00024
anyone,PRON,0.00024
probably,ADV,0.000234
yeah,INTJ,0.000234
understand,VERB,0.000234
hit,VERB,0.000234
saying,VERB,0.000234
playing,VERB,0.000234
nice,ADJ,0.000234
friend,NOUN,0.000234
needs,NOUN,0.000234
air,NOUN,0.000234
bit,NOUN,0.000234
close,ADV,0.000229
idea,NOUN,0.000229
possible,ADJ,0.000229
past,NOUN,0.000229
looks,VERB,0.000229
class,NOUN,0.000229
wanted,VERB,0.000229
comes,VERB,0.000229
i'd,PRON,0.000229
international,ADJ,0.000229
woman,NOUN,0.000224
months,NOUN,0.000224
members,NOUN,0.000224
series,NOUN,0.000224
cause,NOUN,0.000224
b,NOUN,0.000224
move,VERB,0.000224
wait,VERB,0.000224
r,INTJ,0.000224
question,NOUN,0.000224
due,ADJ,0.000224
human,ADJ,0.000224
happy,ADJ,0.000224
special,ADJ,0.000219
community,NOUN,0.000219
data,NOUN,0.000219
late,ADJ,0.000219
won't,AUX,0.000219
saw,VERB,0.000219
watch,VERB,0.000219
leave,VERB,0.000219
ask,VERB,0.000219
north,NOUN,0.000219
future,NOUN,0.000214
police,NOUN,0.000214
taken,VERB,0.000214
either,ADV,0.000214
fucking,INTJ,0.000214
stay,VERB,0.000214
low,ADJ,0.000214
light,NOUN,0.000214
c,NOUN,0.000214
morning,NOUN,0.000214
short,ADJ,0.000214
turn,NOUN,0.000209
reason,NOUN,0.000209
deal,NOUN,0.000209
age,NOUN,0.000209
rather,ADV,0.000209
soon,ADV,0.000209
report,NOUN,0.000209
buy,VERB,0.000209
whether,SCONJ,0.000209
third,ADJ,0.000209
yourself,PRON,0.000204
myself,PRON,0.000204
minutes,NOUN,0.000204
form,NOUN,0.000204
check,VERB,0.000204
further,ADV,0.000204
among,ADP,0.000204
development,NOUN,0.000204
heart,NOUN,0.000204
services,NOUN,0.000204
phone,NOUN,0.0002
act,NOUN,0.0002
players,NOUN,0.0002
fire,NOUN,0.0002
child,NOUN,0.0002
media,NOUN,0.0002
living,VERB,0.0002
major,ADJ,0.0002
although,SCONJ,0.0002
asked,VERB,0.0002
fun,ADJ,0.0002
building,NOUN,0.000195
west,NOUN,0.000195
art,NOUN,0.000195
near,ADV,0.000195
quite,ADV,0.000195
works,NOUN,0.000195
non,INTJ,0.000195
market,NOUN,0.000195
plan,NOUN,0.000195
behind,ADP,0.000195
talking,VERB,0.000195
easy,ADJ,0.000195
political,ADJ,0.000195
front,NOUN,0.000191
kids,NOUN,0.000191
education,NOUN,0.000191
street,NOUN,0.000191
