ID,lemma,pos,frequency
0,el,DET,2220619
1,de,ADP,1620894
2,él,PRON,1345010
3,ser,AUX,1252257
4,a,ADP,1115558
5,uno,DET,1099873
6,que,SCONJ,1037689
7,no,ADV,911377
8,en,ADP,737449
9,yo,PRON,652204
10,que,PRON,613438
11,y,CCONJ,590375
12,estar,AUX,507724
13,haber,AUX,453526
14,tú,PRON,426520
15,por,ADP,397825
16,tener,VERB,391376
17,con,ADP,345740
18,para,ADP,297929
19,poder,AUX,294343
20,hacer,VERB,291616
21,mi,DET,275515
22,su,DET,272039
23,qué,PRON,215109
24,decir,VERB,197365
25,saber,VERB,186561
26,este,DET,182609
27,del,ADP,181233
28,tu,DET,174132
29,si,SCONJ,172929
30,al,ADP,172234
31,querer,VERB,171229
32,ese,PRON,164294
33,pero,CCONJ,161404
34,como,SCONJ,158410
35,ir,AUX,157015
36,©,PROPN,147801
37,ver,VERB,145512
38,mucho,ADV,144350
39,todo,DET,131841
40,más,ADV,130564
41,bien,ADV,130341
42,ese,DET,129248
43,este,PRON,123867
44,ir,VERB,123590
45,estar,VERB,119603
46,aquí,ADV,92502
47,algo,PRON,88771
48,todo,PRON,82448
49,vez,NOUN,81968
50,ya,ADV,81616
51,o,CCONJ,80486
52,pasar,VERB,76942
53,cuando,SCONJ,76624
54,dar,VERB,75108
55,creer,VERB,74862
56,hablar,VERB,72874
57,qué,DET,67877
58,deber,AUX,67822
59,ahora,ADV,67085
60,nuestro,DET,66149
61,tanto,ADV,65923
62,otro,DET,60242
63,nada,PRON,59466
64,cosa,NOUN,58887
65,cómo,PRON,56660
66,así,ADV,55857
67,dos,NUM,55754
68,dejar,VERB,54250
69,necesitar,VERB,54108
70,hombre,NOUN,52702
71,porque,SCONJ,52114
72,sobre,ADP,52099
73,uno,PRON,51294
74,pensar,VERB,50406
75,venir,VERB,48923
76,buen,ADJ,48395
77,sólo,ADV,46959
78,gustar,VERB,46413
79,alguno,DET,45516
80,sentir,VERB,45368
81,sí,INTJ,44972
82,tiempo,NOUN,44958
83,sin,ADP,44740
84,mejor,ADJ,43978
85,quién,PRON,41917
86,llamar,VERB,41813
87,volver,VERB,41610
88,dónde,PRON,41086
89,día,NOUN,40891
90,parecer,VERB,40772
91,casa,NOUN,40624
92,alguien,PRON,40200
93,llevar,VERB,40046
94,hasta,ADP,39298
95,salir,VERB,38903
96,nunca,ADV,38595
97,©,NOUN,37905
98,encontrar,VERB,37325
99,esperar,VERB,36717
100,antes,ADV,36338
101,gente,NOUN,36157
102,tipo,NOUN,35837
103,llegar,VERB,35692
104,usted,PRON,35595
