Model,Vocab Size,LTE mean,LTE std,LTE.ad.rat,Perplexity mean,Perplexity std,LLMaaJ S. Mean,LLMaaJ S. std
vanilla_chatgpt_prompted,100,0.55,0.19,0.0,1.16,0.11,,
vanilla_vllm_prompted,100,0.77,0.12,0.01,1.47,0.03,,
vanilla_vllm_unconstrained,100,0.81,0.04,0.0,1.46,0.01,,
vanilla_chatgpt_unconstrained,100,0.82,0.03,0.0,1.14,0.1,,
custom qwen,100,0.83,0.03,0.0,4.63,0.28,2.37,0.85
custom_qwen_w_llmaaj,100,0.83,0.03,0.0,4.63,0.28,2.37,0.85
vanilla_chatgpt_prompted,500,0.45,0.21,0.01,1.12,0.09,,
custom_qwen_w_llmaaj,500,0.67,0.16,0.0,3.22,0.61,2.17,0.36
vanilla_chatgpt_unconstrained,500,0.75,0.05,0.0,,,,
custom qwen,500,0.76,0.16,0.0,3.35,0.57,1.92,0.35
vanilla_vllm_unconstrained,500,0.77,0.07,0.0,1.41,0.01,,
vanilla_vllm_prompted,500,0.78,0.1,0.0,1.43,0.03,,
vanilla_chatgpt_prompted,2000,0.45,0.18,0.01,1.11,0.08,,
custom_qwen_w_llmaaj,2000,0.61,0.15,0.0,3.09,0.49,2.15,0.42
custom qwen,2000,0.65,0.18,0.0,3.26,0.48,2.01,0.18
vanilla_vllm_prompted,2000,0.67,0.2,0.0,1.41,0.03,,
vanilla_chatgpt_unconstrained,2000,0.69,0.06,0.0,1.14,0.09,,
vanilla_vllm_unconstrained,2000,0.7,0.12,0.0,1.37,0.02,,
