Model,Vocab Size,LTE mean,LTE std,LTE.ad.rat,Perplexity mean,Perplexity std,LLMaaJ S. Mean,LLMaaJ S. std
vanilla_chatgpt_prompted,100,0.07,0.14,0.72,1.28,0.14,,
custom_qwen_w_llmaaj,100,0.44,0.14,0.0,2.36,0.43,3.11,0.54
vanilla_vllm_prompted,100,0.44,0.2,0.0,1.22,0.02,,
custom qwen,100,0.46,0.15,0.0,2.55,0.39,2.97,0.53
vanilla_chatgpt_unconstrained,100,0.51,0.07,0.0,1.1,0.04,,
vanilla_vllm_unconstrained,100,0.54,0.11,0.0,1.21,0.02,,
vanilla_chatgpt_prompted,500,0.08,0.14,0.59,1.21,0.13,,
custom qwen,500,0.15,0.08,0.2,1.86,0.16,2.71,0.72
custom_qwen_w_llmaaj,500,0.15,0.09,0.18,1.81,0.2,2.9,0.56
vanilla_vllm_prompted,500,0.19,0.2,0.36,1.19,0.03,,
vanilla_vllm_unconstrained,500,0.26,0.14,0.11,1.21,0.02,,
vanilla_chatgpt_unconstrained,500,0.26,0.09,0.0,1.1,0.04,,
custom qwen,2000,0.08,0.1,0.48,1.68,0.21,2.65,0.43
custom_qwen_w_llmaaj,2000,0.08,0.1,0.46,1.62,0.26,2.74,0.45
vanilla_chatgpt_prompted,2000,0.08,0.15,0.71,1.22,0.22,,
vanilla_vllm_prompted,2000,0.14,0.24,0.59,1.24,0.02,,
vanilla_chatgpt_unconstrained,2000,0.14,0.09,0.06,1.1,0.04,,
vanilla_vllm_unconstrained,2000,0.18,0.11,0.14,1.18,0.01,,
